City,State,Median Age,Male Population,Female Population,Total Population,Number of Veterans,Foreign-born,Average Household Size,State Code,American Indian and Alaska Native,Asian,Black or African-American,Hispanic or Latino,White
Lake Charles,Louisiana,31.8,35678,40388,76066,4477,3215,2.36,LA,592,1444,38358,3157,36346
Lake Forest,California,40.3,41515,40982,82497,3748,20784,2.76,CA,1482,16690,3526,17410,59846
Lakeland,Florida,38.1,47840,56570,104410,7390,11592,2.56,FL,288,3348,25111,16501,75636
Lakewood,California,39.9,41523,40069,81592,4094,18274,3.13,CA,398,18999,6123,24987,43766
Lakewood,Colorado,37.7,76013,76576,152589,9988,14169,2.29,CO,2597,7340,2679,33630,139669
Lancaster,California,30.9,80668,80445,161113,7892,17247,3.25,CA,2186,8654,36007,57423,110311
Lansing,Michigan,31.4,54333,59777,114110,5327,8371,2.39,MI,5254,4168,34196,14245,75688
Laredo,Texas,28.8,124305,131484,255789,4921,68427,3.66,TX,1253,1963,832,243190,246442
Largo,Florida,45.1,38166,42841,81007,8310,10489,2.28,FL,881,3249,5860,9561,73502
Las Cruces,New Mexico,32.7,47835,53809,101644,9421,11888,2.58,NM,2368,3266,3825,60614,91201
Las Vegas,Nevada,37.5,310568,313201,623769,42397,127609,2.79,NV,8456,55745,84987,204913,429142
Lauderhill,Florida,35.7,32813,38761,71574,1965,25471,3.02,FL,1186,2662,56948,6089,10788
Lawrence,Kansas,27.4,45592,48324,93916,2986,8701,2.53,KS,4239,6547,5777,6435,79793
Lawrence,Massachusetts,30.8,37464,42776,80240,1190,29170,3.17,MA,"",2149,9221,63175,40757
Lawton,Oklahoma,31.1,51099,45560,96659,11572,6123,2.72,OK,10027,5173,25767,13780,63948
Layton,Utah,29.5,37748,36394,74142,3811,4268,3.24,UT,1674,2889,2710,10123,65333
League City,Texas,35.9,49354,48996,98350,6484,8361,2.72,TX,"",8163,4166,14868,86012
Lee's Summit,Missouri,36.8,48353,46715,95068,6624,3803,2.68,MO,1251,3013,7100,4504,82915
Lehigh Acres,Florida,34.3,57856,61624,119480,5551,31880,3.55,FL,1675,1853,29998,42092,86328
Lewisville,Texas,31.6,52776,52032,104808,4211,24865,2.78,TX,1371,12412,16948,31757,70278
Lexington-Fayette  county,Kentucky,34.4,154032,160456,314488,16661,28613,2.34,KY,3187,14066,51493,21766,249339
Lincoln,Nebraska,32.3,138544,138802,277346,14694,22958,2.4,NE,4281,15138,16445,20296,246677
Little Rock,Arkansas,36.6,96997,100989,197986,12343,16640,2.36,AR,961,8423,85606,15500,102312
Livermore,California,36.7,41522,46595,88117,3063,13959,2.91,CA,941,14116,3199,19582,73440
Livonia,Michigan,47.4,45369,49264,94633,5397,7175,2.52,MI,445,2719,4633,1772,87383
Long Beach,California,34.6,238159,236013,474172,17463,127764,2.78,CA,12841,68095,64948,207890,277962
Longmont,Colorado,36.8,43941,48280,92221,4925,10424,2.63,CO,1682,2255,1782,24846,85853
Longview,Texas,36.8,40065,41525,81590,5512,8782,2.55,TX,253,1810,19904,17614,60997
Lorain,Ohio,35.6,30844,32807,63651,4905,1531,2.52,OH,904,308,16388,19342,46667
Los Angeles,California,35,1958998,2012898,3971896,85417,1485425,2.86,CA,63758,512999,404868,1936732,2177650
Louisville/Jefferson County metro government,Kentucky,37.5,298451,316938,615389,39364,37875,2.45,KY,4585,18601,151256,28712,456451
Loveland,Colorado,37.6,37042,38146,75188,5667,3050,2.53,CO,1029,1549,950,13567,71538
Lowell,Massachusetts,33.4,54422,56298,110720,3764,33414,2.8,MA,868,28944,7310,22095,68838
Lubbock,Texas,29.2,122320,126731,249051,10588,14226,2.61,TX,7627,7508,23594,90706,206318
Lynchburg,Virginia,28.7,38614,41198,79812,4322,4364,2.48,VA,1024,2910,23271,2689,53727
Lynn,Massachusetts,34.8,44598,47861,92459,3093,29899,2.81,MA,1176,9205,18240,33250,50652
Lynwood,California,29.4,35634,36371,72005,776,28061,4.43,CA,"",994,5346,63377,48670
Macon,Georgia,36,71833,81626,153459,10735,4846,2.46,GA,682,3588,84569,4897,64117
Madison,Wisconsin,30.7,122596,126360,248956,9707,30090,2.23,WI,2296,23937,20424,19697,204302
Manchester,New Hampshire,37.3,54845,55378,110223,5473,14506,2.4,NH,558,4304,6896,11962,100108
Manteca,California,35.3,37053,38397,75450,3936,13942,3.25,CA,2861,8172,6279,31552,56156
Maple Grove,Minnesota,38.6,31780,36601,68381,2943,7645,2.64,MN,549,6088,2951,1685,59683
Marysville,Washington,33.2,33436,33337,66773,5714,7721,2.79,WA,3260,6185,1800,7142,58894
MayagÃÂÃÂ¼ez,Puerto Rico,38.1,30799,35782,66581,"","","",PR,"",235,"",65521,""
McAllen,Texas,32.3,68332,71921,140253,4356,37691,3.19,TX,664,5575,3332,113829,107763
McKinney,Texas,35.6,77339,85548,162887,8082,25760,2.91,TX,1801,13882,16689,31705,129192
Medford,Oregon,38.6,39606,40189,79795,6632,6185,2.65,OR,1239,2135,1201,14294,75464
Melbourne,Florida,43.4,39180,40956,80136,8363,9685,2.37,FL,251,5186,11721,6060,65397
Memphis,Tennessee,34.1,312237,343523,655760,31189,43318,2.55,TN,4127,15778,420983,46621,202961
Menifee,California,37.1,42866,44297,87163,6821,12481,3.06,CA,1639,7108,7773,29790,62331
Merced,California,29.7,40048,42392,82440,3723,16348,3.15,CA,2331,9911,6464,43684,42475
Meridian,Idaho,38,43353,47400,90753,5640,8110,2.54,ID,492,2693,1809,6596,84625
Mesa,Arizona,36.9,234998,236835,471833,31808,57492,2.68,AZ,16044,14608,22699,131425,413010
Mesquite,Texas,34.6,69240,75884,145124,6438,26755,2.96,TX,2564,4496,37339,56753,98597
Metairie,Louisiana,41.6,69515,76943,146458,7187,19871,2.39,LA,438,4791,17263,19703,124270
Miami,Florida,40.4,215840,225149,440989,7233,260789,2.5,FL,1571,4613,87331,319942,338232
Miami Beach,Florida,42.5,48090,44221,92311,2265,49908,2.1,FL,"",2772,4013,47446,72180
Miami Gardens,Florida,34.9,50719,62480,113199,2327,33394,3.75,FL,"","",85300,23287,27273
Midland,Texas,32.1,66595,66355,132950,5753,17061,2.78,TX,1922,3279,10379,58677,115958
Milpitas,California,36.8,40098,37519,77617,1608,39436,3.32,CA,599,52617,2914,11815,17127
Milwaukee,Wisconsin,31.6,286315,313839,600154,20615,58321,2.51,WI,10813,24832,248149,110335,297038
Minneapolis,Minnesota,32.4,206547,204388,410935,15217,70769,2.26,MN,9238,33854,89996,39981,277862
Miramar,Florida,36.6,66157,70958,137115,3077,57179,3.41,FL,"",12084,65840,46767,58914
Mission,Texas,32.9,40530,42777,83307,2383,22608,3.51,TX,"",3075,"",73367,77985
Mission Viejo,California,44.9,48849,48314,97163,4713,17308,2.85,CA,683,13073,2066,18913,81186
Missoula,Montana,34.7,35002,36022,71024,4733,2771,2.15,MT,3618,2292,1149,2474,66504
Missouri City,Texas,37.2,34932,36846,71778,4274,18556,3.03,TX,"",17854,28070,10007,20590
Mobile,Alabama,38,91275,103030,194305,11939,7234,2.4,AL,2816,5518,96397,5229,93755
Modesto,California,35.2,104852,106405,211257,9855,39613,2.97,CA,4388,19417,9869,85141,166618
Montgomery,Alabama,35.4,94582,106004,200586,14955,9337,2.41,AL,1277,6518,121360,6648,73545
Moreno Valley,California,30.7,98584,105597,204181,8529,54442,3.9,CA,1843,11912,35550,120610,90391
Mount Pleasant,South Carolina,42.7,39429,41880,81309,3981,4701,2.53,SC,"",1827,3730,2569,75908
Mount Vernon,New York,38.5,31876,36745,68621,2064,23777,2.85,NY,356,1497,49830,9446,13106
Mountain View,California,33.5,42493,37945,80438,1376,31857,2.46,CA,577,23884,1974,16397,51400
Muncie,Indiana,27.4,32446,37255,69701,2968,1062,2.35,IN,203,"",10482,2499,59962
Murfreesboro,Tennessee,30.2,60704,65417,126121,5199,8948,2.6,TN,1339,7265,22651,8840,97270
Murrieta,California,35.3,49363,60453,109816,7242,19875,3.3,CA,2327,16041,9259,32944,77700
Nampa,Idaho,31.4,45651,44199,89850,4736,6607,2.98,ID,2167,1486,1600,22066,80776
Napa,California,37.2,39828,40601,80429,4678,18449,2.84,CA,1751,3593,675,33229,57837
Naperville,Illinois,38.5,71365,75794,147159,4545,30399,2.76,IL,449,31221,9031,4928,108937
Nashua,New Hampshire,38.3,42926,45049,87975,5532,12693,2.46,NH,655,9685,4147,10511,73977
Nashville,Tennessee,34.1,314231,340365,654596,27942,88193,2.39,TN,5474,27355,188844,67526,432447
New Bedford,Massachusetts,38.6,43793,51166,94959,4185,19024,2.39,MA,346,1811,8890,18336,63938
New Braunfels,Texas,37,33071,36852,69923,5204,5405,2.85,TX,648,1610,3471,22522,63789
New Britain,Connecticut,33.4,37350,35459,72809,2219,15080,2.52,CT,"",2297,9873,30188,56431
New Haven,Connecticut,29.9,63765,66545,130310,2567,25871,2.48,CT,2205,7966,43356,43563,56251
New Orleans,Louisiana,35.9,185736,203881,389617,17388,21679,2.41,LA,2496,13349,234645,21850,140314
New Rochelle,New York,40.6,38871,40967,79838,2780,26960,2.85,NY,645,4218,17723,23548,44435
New York,New York,36,4081698,4468707,8550405,156961,3212500,2.68,NY,90923,1304564,2192248,2485125,3835726
Newark,New Jersey,34.6,138040,143873,281913,5829,86253,2.73,NJ,2268,7349,144961,100432,76402
Newport Beach,California,46.8,43161,43970,87131,4847,15318,2.4,CA,423,10017,"",8127,74814
Newport News,Virginia,32.8,88385,94000,182385,18896,12589,2.46,VA,2201,8275,79245,15780,95151
Newton,Massachusetts,42.3,41985,46824,88809,1814,21692,2.71,MA,244,15666,2925,4790,69380
Norfolk,Virginia,30.2,128917,117476,246393,29445,16702,2.51,VA,3259,11854,107893,18760,127741
Norman,Oklahoma,30.9,59483,60814,120297,5578,8705,2.47,OK,10801,6539,6620,11732,106409
North Charleston,South Carolina,30.7,56549,55315,111864,9651,8789,2.82,SC,1042,4181,56734,12975,48956
North Las Vegas,Nevada,32.2,116350,118443,234793,17256,49815,3.31,NV,4739,20273,54093,94804,137357
North Little Rock,Arkansas,33.6,31671,34835,66506,4130,2787,2.62,AR,713,"",30766,4860,34118
North Richland Hills,Texas,39.9,35257,33948,69205,5175,7854,2.64,TX,1127,5295,5439,10195,58258
Norwalk,California,35,53125,54020,107145,3027,39396,3.88,CA,1165,16189,5195,76020,46998
Norwalk,Connecticut,42.4,40880,47603,88483,2877,22328,2.7,CT,552,2954,15129,24682,67844
O'Fallon,Missouri,36,41762,43270,85032,5783,3269,2.77,MO,685,3447,5136,2583,77049
Oakland,California,35.7,203827,215451,419278,12159,113896,2.56,CA,8380,75446,118228,114054,171599
Oceanside,California,39.4,87482,88232,175714,18051,37492,2.72,CA,2452,20882,11907,62100,137533
Odessa,Texas,31.2,61119,57861,118980,5509,15845,2.92,TX,1134,2252,7647,63586,106944
Ogden,Utah,31.3,44323,41127,85450,5080,12791,2.68,UT,1717,1911,2620,28275,74960
Oklahoma City,Oklahoma,34.1,309227,322036,631263,41843,80165,2.58,OK,41696,33759,111673,117362,462306
Olathe,Kansas,33,65046,69270,134316,6042,11913,2.97,KS,1872,6288,9518,16131,120282
Omaha,Nebraska,34.2,218789,225098,443887,24503,48263,2.47,NE,6318,19105,64223,63516,353417
Ontario,California,31,85059,86141,171200,4816,48557,3.52,CA,4304,14313,12900,118292,74765
Orange,California,35,67337,73658,140995,3993,34550,3.14,CA,658,22457,2853,46255,100083
Orem,Utah,26.1,48695,45762,94457,2828,12808,3.26,UT,976,3862,1837,18342,85512
Orlando,Florida,33.1,130940,139977,270917,12782,50558,2.42,FL,2374,11124,68081,89306,179121
Oshkosh,Wisconsin,33,32905,33652,66557,3809,2348,2.3,WI,237,3182,2778,1972,60210
Overland Park,Kansas,38.2,93355,93156,186511,10461,21407,2.41,KS,1264,17123,10685,10104,161153
Oxnard,California,31,101906,105346,207252,6367,78678,4.08,CA,6241,18249,7183,154911,165423
Palatine,Illinois,38,36506,32763,69269,2629,21760,2.69,IL,"",8145,1822,18626,46246
Palm Bay,Florida,40.7,51767,56128,107895,10942,12070,2.82,FL,1603,1124,20891,16841,84328
Palm Coast,Florida,48.8,39489,42632,82121,7950,9084,2.76,FL,700,2479,10786,8706,67272
Palmdale,California,32.6,76361,81989,158350,6388,41974,3.54,CA,2800,10981,27398,87452,73480
Palo Alto,California,40.2,31451,35397,66848,2025,23348,2.55,CA,556,24055,1049,3496,43019
Paradise,Nevada,37.2,122784,114162,236946,14112,66712,2.65,NV,4314,28380,25091,88347,147624
Parma,Ohio,40.8,38425,41518,79943,5028,6909,2.42,OH,876,974,2928,5361,76282
Pasadena,California,37.6,67712,74534,142246,4618,40779,2.63,CA,2161,22794,15909,52717,76525
Pasadena,Texas,31.5,78827,74959,153786,5735,38072,2.95,TX,1993,1570,6204,105871,140240
Pasco,Washington,28.6,35298,32799,68097,2052,16265,3.45,WA,1054,2215,2265,38883,55741
Passaic,New Jersey,30.4,36505,34577,71082,693,24174,3.56,NJ,"",3338,5230,53680,30352
Paterson,New Jersey,34,70640,77117,147757,1694,49810,3.37,NJ,1083,9653,45858,85555,54885
Pawtucket,Rhode Island,39.2,36072,35511,71583,3173,17884,2.41,RI,1359,2150,15513,16117,47614
Pearland,Texas,33.9,52336,59329,111665,5621,16882,3,TX,851,14683,23779,26460,73349
Pembroke Pines,Florida,40.3,77050,89574,166624,6849,62210,2.94,FL,1076,12910,34507,60519,113624
Peoria,Arizona,36.9,80139,91103,171242,13019,14260,2.97,AZ,3108,6631,8514,41129,151232
Peoria,Illinois,33.1,56229,62432,118661,6634,7517,2.4,IL,1343,6989,36333,6874,77074
Perris,California,26.9,41623,33336,74959,1321,23277,4.78,CA,"",3341,9393,54398,23882
Pharr,Texas,26.9,35242,41293,76535,1376,25532,3.67,TX,"","",204,72995,73694
Philadelphia,Pennsylvania,34.1,741270,826172,1567442,61995,205339,2.61,PA,17500,122721,691186,219038,688130
Phoenix,Arizona,33.8,786833,776168,1563001,72388,300702,2.89,AZ,41748,66403,132939,669914,1161455
Pine Hills,Florida,29.2,35344,40737,76081,2594,20735,3.3,FL,"",2209,57089,10496,10029
Pittsburg,California,34.5,33309,36118,69427,2109,21043,3.15,CA,2253,13981,14931,28605,25996
Pittsburgh,Pennsylvania,32.9,149690,154695,304385,17728,28187,2.13,PA,2689,21227,82248,9266,208863
Plano,Texas,38.1,138565,145054,283619,11719,74030,2.65,TX,3771,59958,25217,42959,195220
Plantation,Florida,40.6,42881,49674,92555,4037,27902,2.73,FL,"",3954,19670,26401,66970
Pleasanton,California,41.3,36662,42857,79519,2424,23208,2.87,CA,608,27662,1919,7949,49934
Plymouth,Minnesota,38.4,39035,36893,75928,4158,8830,2.46,MN,760,5561,6938,3274,63872
Poinciana,Florida,34.2,38142,35801,73943,2933,14349,3.93,FL,1593,1409,24750,37382,45622
Pomona,California,32.1,74945,78307,153252,3251,53879,3.63,CA,3866,17646,10774,108787,94296
Pompano Beach,Florida,42.5,56569,51202,107771,5145,32733,2.55,FL,2138,1089,38653,23225,67360
Ponce,Puerto Rico,40.5,56968,64615,121583,"","","",PR,"","","",120705,""
Port Saint Lucie,Florida,42.1,84069,95341,179410,12416,34003,2.91,FL,1536,7967,32986,34240,135049
Portland,Maine,40.3,31480,35392,66872,3666,9229,2.13,ME,662,3696,5750,2031,59722
Portland,Oregon,36.7,313516,318671,632187,29940,86041,2.43,OR,15314,64386,45914,61064,524258
Portsmouth,Virginia,33.6,45900,50301,96201,10261,1815,2.54,VA,1584,1785,52972,3896,43004
Providence,Rhode Island,29.9,89090,90114,179204,4933,53532,2.72,RI,4171,13432,30638,77968,97885
Provo,Utah,23.6,56231,59027,115258,2177,10925,3.28,UT,1916,4104,1062,16668,108471
Pueblo,Colorado,37.6,55635,53784,109419,7989,3578,2.44,CO,7306,2468,4107,57579,86097
Quincy,Massachusetts,41,44129,49500,93629,4147,32935,2.39,MA,351,30473,3917,2566,58723
Racine,Wisconsin,33.7,39314,38423,77737,4650,4403,2.56,WI,1371,1175,20014,18215,52445
Raleigh,North Carolina,32.8,219184,232765,451949,16747,65125,2.42,NC,3955,24865,138242,51786,275892
Rancho Cordova,California,33.8,34844,36182,71026,4590,17020,2.86,CA,1940,12653,9307,13970,47757
Rancho Cucamonga,California,34.5,88127,87105,175232,5821,33878,3.18,CA,2789,24519,24437,65823,111832
Rapid City,South Dakota,39.5,36122,37446,73568,7429,2375,2.31,SD,9159,2170,2217,2971,63983
Reading,Pennsylvania,29.4,43668,44205,87873,2580,17043,2.95,PA,9671,903,20821,57032,64401
Redding,California,38.8,42530,49049,91579,6926,5181,2.42,CA,4352,5271,2112,9143,81244
Redlands,California,36.2,33993,37035,71028,3445,8681,2.82,CA,811,6255,6973,19698,55241
Redondo Beach,California,43,34855,33330,68185,3014,13536,2.34,CA,1007,13118,2234,8858,53811
Redwood City,California,37.1,42676,42624,85300,2430,27652,2.64,CA,664,14873,2758,29011,51019
Reno,Nevada,35.7,122292,119151,241443,17089,37070,2.46,NV,3872,20681,9427,59902,197335
Renton,Washington,36.3,52779,47468,100247,5032,28962,2.57,WA,2338,22550,12265,15392,58251
Rialto,California,31.6,49902,53235,103137,2036,32741,3.83,CA,1065,4103,11800,78571,74551
Richardson,Texas,35.5,54676,56151,110827,4797,29579,2.83,TX,1439,20724,13256,15762,76116
Richmond,California,35.3,52615,57100,109715,3611,42215,2.87,CA,2348,20082,27434,45132,36074
Richmond,Virginia,33.6,104793,115496,220289,12538,15741,2.29,VA,4902,6626,109722,14259,104568
Rio Rancho,New Mexico,38.3,47251,46904,94155,8527,5200,2.86,NM,4857,2374,3970,38674,73022
Riverside,California,31.4,160613,161810,322423,12373,69584,3.34,CA,5338,27675,26147,160697,225157
Riverview,Florida,32.2,44210,45536,89746,6943,12240,3.22,FL,726,3582,15159,23317,60793
Roanoke,Virginia,36.9,47252,52645,99897,6567,7346,2.35,VA,594,3237,30920,6091,68761
Rochester,Minnesota,35,54934,57282,112216,6888,17763,2.55,MN,1172,9839,9425,6617,93477
Rochester,New York,31.4,100135,109673,209808,7288,17735,2.36,NY,4856,8748,93072,38004,105636
Rochester Hills,Michigan,41.2,36356,37076,73432,3053,13708,2.66,MI,348,8092,3514,3395,62170
Rock Hill,South Carolina,34.5,33324,38243,71567,4755,2413,2.29,SC,610,1073,28204,2845,41652
Rockford,Illinois,36.3,71076,78270,149346,8894,18323,2.52,IL,2301,5500,33122,28923,107148
Rockville,Maryland,38.1,31205,35793,66998,1990,25047,2.6,MD,594,17370,7533,9197,41692
Roseville,California,38.4,62591,67691,130282,8386,18161,2.72,CA,2635,18171,4413,23499,103853
Roswell,Georgia,38.8,48637,45859,94496,3325,16501,2.7,GA,585,7240,15458,16920,69857
Round Rock,Texas,34.9,56646,59193,115839,6804,18237,3.13,TX,1551,9685,13636,37151,92278
Sacramento,California,33.7,237724,252991,490715,19698,112579,2.73,CA,10145,105063,77439,150153,268151
Saint Charles,Missouri,34.9,32054,36747,68801,4371,5274,2.33,MO,681,3392,6842,4070,58662
Saint Cloud,Minnesota,30.7,34311,33942,68253,5012,5757,2.41,MN,1169,2494,6401,2639,59794
Saint George,Utah,37.3,38732,41475,80207,4443,4824,2.81,UT,2406,1649,1376,10829,71915
Saint Joseph,Missouri,35.7,37688,38408,76096,5846,3755,2.58,MO,1018,1271,6964,5400,68293
Saint Louis,Missouri,35,153026,162659,315685,17060,21802,2.16,MO,2746,12209,151030,12261,155574
Saint Paul,Minnesota,31.5,149547,151293,300840,10548,56514,2.58,MN,6858,58174,54665,27307,191369
Saint Petersburg,Florida,41.8,123524,133564,257088,20247,28567,2.42,FL,2716,10893,67798,20483,179121
Salem,Oregon,35.4,80839,83704,164543,9685,19668,2.69,OR,7678,6076,3770,39414,148650
Salinas,California,30.4,77765,79621,157386,4020,58693,3.72,CA,2855,11227,3391,121196,95283
Salt Lake City,Utah,32.1,98364,94296,192660,6829,32166,2.38,UT,3488,13153,5365,40559,150136
San Angelo,Texas,32.8,49669,50744,100413,8412,7859,2.5,TX,548,1658,6079,42494,86655
San Antonio,Texas,33.1,721405,748419,1469824,109089,208046,2.93,TX,20752,53933,119542,937607,1240092
San Bernardino,California,28.5,108671,107466,216137,7741,55135,3.55,CA,4520,12981,36393,136214,123174
San Buenaventura,California,37.7,53932,55785,109717,5980,18025,2.68,CA,2808,6547,1300,38463,95139
San Clemente,California,45.2,34076,31456,65532,3970,8109,2.64,CA,"",4296,251,10421,58849
San Diego,California,34.5,693826,701081,1394907,92489,373842,2.73,CA,16496,267222,111650,425414,949388
San Francisco,California,38.3,439752,425064,864816,26276,297199,2.37,CA,8997,324034,53270,132114,442155
San Jose,California,36.5,518317,508602,1026919,27269,401493,3.13,CA,13776,385198,41721,331232,442798
San Juan,Puerto Rico,41.4,155408,186829,342237,"","","",PR,4031,2452,"",335559,""
San Leandro,California,41.8,43032,47679,90711,4111,34293,2.79,CA,1540,34019,11100,26894,40182
San Marcos,California,35.4,45246,47688,92934,5189,21558,3.13,CA,821,11519,4447,35164,72061
San Mateo,California,39.3,50966,52558,103524,2730,34957,2.64,CA,682,30573,2880,23151,62656
San Ramon,California,39.1,39221,36911,76132,2855,29691,3.09,CA,609,38970,2734,5449,37057
